Index,Original_Row_Index,TITLE,COMPANY,COMPANY_URL,JOB_DESCRIPTION,REQUIREMENT,LOCATION,SALARY,URL,Data source,Posted_Date,Retrieved_Date,Application_Type
13,12,Quantitative Developer (Data),Gravitas Recruitment Group,https://hk.indeed.com/cmp/Gravitas-Recruitment-Group,"Design and implement ETL pipelines, develop data QC systems, integrate datasets with research teams, build quantitative analytics tools for back-testing trading strategies, create portfolio risk and performance dashboards, and manage container orchestration environments.","Bachelor's degree in Computer Science or related field; proficiency in C/C++, Python, and data libraries (Pandas, Polars, NumPy); expertise in MySQL, MongoDB, ClickHouse; knowledge of backend systems, concurrency, distributed computing, and AWS; familiarity with equities, derivatives, and fixed income; strong communication and organizational skills.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=1da36f7a8ce41b51,indeed,07/11/2025,Not specified,Not specified
14,13,Business Analyst,Gravitas Recruitment Group,https://hk.indeed.com/cmp/Gravitas-Recruitment-Group,"We are seeking a detail-oriented and analytical Business Analyst to join our dynamic team based in Quarry Bay, Hong Kong Island. In this role, you will collaborate with stakeholders across multiple business units to identify requirements, evaluate business processes, and deliver data-driven solutions that enhance performance and support decision-making. You will play a critical role in bridging the gap between IT and the business, ensuring that technology solutions align with strategic goals. Key responsibilities include analyzing business needs, documenting workflows and business rules, conducting gap analyses, supporting project management, developing reports and dashboards, coordinating user acceptance testing, and assisting in policy implementation.","Bachelor's degree in Business Administration, Finance, Information Systems, or a related field; minimum of 3 years' experience in business analysis; strong understanding of business operations and systems; proficiency in data analysis tools (e.g., Excel, SQL, BI tools); excellent English communication skills; ability to manage multiple priorities; experience with Agile/Waterfall methodologies is preferred; CBAP or PMI-PBA certification is a plus.","Quarry Bay, Hong Kong",Not specified,https://hk.indeed.com/viewjob?jk=9099c7c0b54f1b97,indeed,07/11/2025,Not specified,Not specified
15,14,Data Engineer,GFT TECHNOLOGIES,https://www.gft.com/,"We are seeking a skilled Data Developer to support our data infrastructure, where kdb+ database system is a cornerstone of our data infrastructure, enabling us to process and analyze vast amounts of market data with extremely low latency. The role involves designing and building robust ETL/ELT pipelines, working with real-time data feeds, and applying strong financial markets knowledge in Fixed Income, FX, and Equities trading. The ideal candidate will have strong Python programming skills, experience in data engineering, DevOps practices, and familiarity with monitoring tools like ITRS.","Strong proficiency in Python (Pandas, NumPy, PySpark); experience in ETL/ELT pipeline development; knowledge of data modeling and warehousing; familiarity with real-time messaging systems (Solace/ION/Kafka); domain knowledge in Fixed Income, FX, and Equities trading; experience with Git and CI/CD; understanding of cloud platforms (AWS, GCP, Azure) and containerization (Docker, Kubernetes) is a plus; DevOps experience; experience with monitoring tools such as ITRS.",Hong Kong,Not specified,https://jobs.gft.com/job/Hong-Kong-Data-Engineer/1265668001/,indeed,07/11/2025,Not specified,Not specified
16,15,"Analyst, Risk Data and MIS Analyst",Santander,http://www.santandercareers.com,"Responsible for Risk MIS and Data management, including creating and maintaining data repositories by combining information from various internal and external sources to support risk management, regulatory reporting, and presentations. Key duties include enhancing risk data and reporting initiatives, managing data collection, building dashboards, automating reports, and supporting audits and ad-hoc analysis.","Bachelor's degree in Data Analysis, Information Systems, or Business Analytics; proficiency in Power BI; strong skills in Excel and Access with VBA; knowledge of Python, SQL, Qlik Sense (a plus); familiarity with Bloomberg and Reuters; experience in financial data management (minimum 3 years); understanding of banking accounting and risk terminology; experience in financial institution consultancy preferred; multilingual skills in English, Cantonese, and Mandarin required; Spanish is an advantage; proactive problem-solving attitude and ability to work in diverse teams.",Hong Kong,Not specified,https://santander.wd3.myworkdayjobs.com/en-US/SantanderCareers/job/Hong-Kong/Analyst--Risk-Data-and-MIS-Analyst_Req1506352,indeed,07/11/2025,Not specified,Not specified
17,16,"Senior Specialist, Performance Marketing",NP Digital,https://hk.indeed.com/cmp/Np-Digital,"Senior Specialist, Performance Marketing works with Account teams, Creative teams, and SEO Specialists to drive daily account responsibilities associated with Google Ads, Bing Ads, Facebook Ads, Google Market Platforms (GMP) & related programmatic platforms, as well as key business outcomes for clients. Responsibilities include managing paid media campaigns, analyzing performance using Google Analytics, optimizing spend, monitoring competitor strategies, client communication, and developing digital marketing strategies tailored to client goals. The role emphasizes actionable insights, campaign customization, and delivering measurable results in a fast-paced agency environment.","Bachelor's degree or equivalent in Advertising/Media, e-Commerce, Mass Communications, Marketing, or related field; preferably 1–2 years of relevant experience (fresh graduates welcome); excellent command of spoken and written English and Cantonese; proficiency in Google Sheets/Microsoft Excel (including pivot tables); comfortable working with data and analytics; ability to work independently with strong attention to detail and customer service skills; internet-savvy; knowledge of web design and HTML is an advantage; must be eligible to work in Hong Kong.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=03d2ad48dbcfcd06,indeed,07/11/2025,Not specified,Not specified
18,17,Digital Innovation & Growth Manager (AI/Data Solutions) (Insurance),Classy Wheeler,https://www.classywheeler.com.hk/,"Lead data governance initiatives and enforce compliance with regulatory requirements and data protection protocols. Drive company-wide AI and Generative AI projects, identifying opportunities to integrate AI into business processes such as customer service, claims automation, and fraud detection. Collaborate with data science, IT, and business teams to design, develop, and deploy AI models with measurable business impact. Explore and prototype AI-driven underwriting solutions, including predictive risk modeling, automated decision-making, and NLP for medical records analysis. Evaluate third-party AI tools and vendors to optimize underwriting and operational efficiency. Stay updated on emerging AI trends and assess their applicability in the insurance sector. Manage the full project lifecycle, ensuring timely delivery of data products and AI solutions.","Bachelor’s degree in Data Science, Computer Science, Business Analytics, or a related field. Minimum 5 years of experience in data governance, AI/ML projects, or insurance analytics (life insurance experience preferred). Strong knowledge of data protection best practices within financial services. Proven track record in delivering data products and managing end-to-end project lifecycles. Proficiency in Python and hands-on coding experience is highly preferred. Excellent communication and interpersonal skills, with the ability to influence stakeholders at all levels. Proficient in spoken and written English, Cantonese, and Mandarin. Strong project management and stakeholder engagement skills.","Cityplaza, Taikoo Shing, HK",Not specified,https://hk.indeed.com/viewjob?jk=53bcc2af455e9508,indeed,07/11/2025,Not specified,Not specified
19,18,Quantitative Research - eTrading - Vice President,JPMorganChase,https://www.jpmorganchase.com/,"We are looking for an experienced quantitative developer to join our QR equities e-trading team in Hong Kong. Our team partners with the electronic trading desk and technology teams to develop sophisticated mathematical models, cutting-edge methodologies and infrastructure to improve the performance of algorithmic trading strategies and promote advanced electronic solutions to our clients worldwide. As a Quantitative Research - eTrading - Vice President, you will contribute to the design and implementation of the algorithmic trading platform, working alongside researchers and collaborating with product and technology teams to deliver global client solutions.","Master's in STEM subject such as computer science, engineering, mathematics/statistics, or physics; 5 years of experience in similar roles; coding experience in Java or C++; experience with algorithmic trading platforms and North America equity markets; strong analytical, quantitative, and problem-solving skills; strong communication skills. Preferred: PhD in STEM, 7+ years of experience, production-grade Java/C++ implementations, Python, AWS, q/kdb, knowledge of global cash equity markets.",HK,Not specified,https://hk.indeed.com/viewjob?jk=4c8f3884623b2878,indeed,07/11/2025,Not specified,Not specified
20,19,"Data Scientist, Machine Learning & MLOps",SMARTONE,https://www.smartone.com/en/,"Design, develop, and deploy production-grade machine learning models; build and maintain ML pipelines and MLOps frameworks; drive business impact through data science; collaborate with cross-functional teams; create scalable data pipelines using PySpark; and apply cutting-edge ML technologies.","Bachelor’s degree in Computer Science, Statistics, Mathematics, or related field (Master’s preferred); 3+ years of hands-on experience as a Data Scientist; expert proficiency in Python, SQL, and PySpark; strong knowledge of ML algorithms and model validation; excellent analytical and communication skills in English and Cantonese.","Kowloon, HK",Not specified,https://hk.indeed.com/viewjob?jk=571087a728a03469,indeed,07/11/2025,Not specified,Not specified
21,20,"Analyst, Data Technology",Haitong International Management Services Company Limited,https://hk.indeed.com/cmp/Haitong-International-Management-Services-Company-Limited,"Collect and document user requirements; perform analysis, design, and development of Data Warehouse projects. Maintain and enhance the Data Warehouse platform to ensure stability and performance. Provide daily operational support and respond to user inquiries. Offer on-call support for production issues and system incidents. Participate in scheduled system maintenance, including weekend activities.","Bachelor’s degree in Computer Science or related disciplines. Minimum 3 years of experience in Data Warehouse and Business Intelligence development. Solid hands-on experience with Oracle, ETL processes, BI tools, and SQL. Familiarity with securities trading, risk management, and financial systems, including regulatory and management reporting. Strong written and verbal communication skills in English, Cantonese, and Mandarin. Excellent interpersonal skills for collaboration with users and vendors. Independent, self-motivated, and able to manage multiple tasks under pressure. Knowledge of database design and SQL performance tuning.",HK,Not specified,https://hk.indeed.com/viewjob?jk=7a7b77450469fb7c,indeed,07/11/2025,Not specified,Not specified
22,21,Project Admin (2-month contract),ASK IT Limited,https://hk.indeed.com/cmp/Ask-IT-Limited-2,Track and record computer serial numbers accurately in the system. Prepare and maintain Excel reports for logistics and inventory data. Communicate with clients to address inquiries and provide updates. Ensure data accuracy and consistency in all reports and records. Assist in coordinating logistics tasks to meet operational deadlines.,Proficiency in Microsoft Excel for data entry and report generation. Strong communication skills for effective client interaction. Attention to detail and accuracy in handling serial number data. Ability to manage multiple tasks and meet deadlines. Prior experience in logistics or administrative roles is preferred. Permanent Hong Kong Resident is preferred. Expected Salary in CV is needed for consideration.,"Sha Tin, NT, HK","Up to $15,000.00 per month",https://hk.indeed.com/viewjob?jk=97403ee61a4693f4,indeed,07/11/2025,Not specified,Not specified
24,23,"Senior System/ Data Analyst, AML System- Foreign Corporate & Private Bank",IGNITE RECRUITMENT HONG KONG LIMITED,https://hk.indeed.com/cmp/Ignite-Recruitment-Hong-Kong-Limited,"Our client is a well-established & expanding Foreign Corporate & Private Bank in Hong Kong. They are currently looking for a System/ Data Analyst to expand their business capacity in Hong Kong in order to strengthen their AML & internal control capability. Responsibilities include working closely with the AML department to ensure transaction monitoring, customer risk assessment, and list screening systems function properly; analyzing AML and transaction monitoring data from multiple sources; identifying trends, patterns, and anomalies; developing datasets and models for AML reporting; building automated dashboards using tools like Tableau or Power BI; producing clear reports on analytical findings; and coordinating with HQ IT and data analytics teams for government reporting.","Degree or above; 5+ years of experience as a data analyst in a banking environment; prior experience in AML, corporate governance, or compliance is highly preferable; proficiency in SQL; good knowledge of statistical concepts such as hypothesis testing and regression; experience with NICE Actimize is an advantage; programming skills in Python (Pandas) or R and familiarity with ETL processes and data warehousing concepts are highly preferable; advanced Excel and knowledge of advanced analytics techniques like predictive modeling and clustering are also preferable.","Hong Kong, HK",Not specified,https://www.efinancialcareers.hk/jobs-Hong_Kong-Hong_Kong-Senior_System_Data_Analyst_AML_System-_Foreign_Corporate__Private_Bank.id23389011,indeed,06/11/2025,Not specified,Click
25,24,"Data Center Infrastructure Engineer , Data Center Operations, HKG - DCO",Amazon.com,https://hk.indeed.com/cmp/Amazon.com,"AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. We support all AWS data centers and related equipment to ensure continuous customer access to cloud innovation. The role involves data center operations including cabling, capacity management, hardware troubleshooting, site maintenance, and operational efficiency improvements. Candidates will work in a collaborative, inclusive environment focused on innovation, operational excellence, and customer-centric solutions.",Basic Qualifications: 1+ years of computer hardware troubleshooting and repair experience; 1+ years of computer networking experience; Bachelor's degree. Preferred Qualifications: 1+ years of data center experience; knowledge of fiber optic and copper cabling standards and testing; ability to summarize and communicate data effectively.,Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=08e40270c1cb0a55,indeed,06/11/2025,Not specified,Not specified
26,25,"Assistant Manager, Agency Recruitment (Data Anaylsis)",Prudential Plc,http://www.pru.co.uk/careers-at-pru/,Deliver data-driven insight and strategic recommendation to achieve business target; Provide validation tracking and performance monitoring; Generate reports and analyze recruitment data to improve strategies; Maintain accurate records and generate reports related to onboarding; Assist in ad-hoc projects/workforce as required.,"Minimum of 5 years of experience in life insurance agency recruitment or data analytics; Bachelor's degree or above; Strong data analytic capabilities; Strong written and verbal communication skills including presentation capabilities; Self-motivated, proactive and able to work independently; Proficient in both written and spoken English and Cantonese, fluent Mandarin speaking is an advantage; Familiar with data analytic applications such as PowerBI and Excel.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=7e0f19a06705d384,indeed,06/11/2025,Not specified,Not specified
27,26,Tableau Developer,Tata Consultancy Services (TCS),https://hk.indeed.com/cmp/Tata-Consultancy-Services-(tcs),"Responsibilities include designing, developing, and maintaining data visualizations and dashboards using Tableau software to help organizations make data-driven decisions.","Must-Have: Proven 3-5 years of working experience in developing Tableau-driven dashboards and analytics; working knowledge of Tableau administrator/architecture; advanced Tableau development skills; ability to query and display large datasets while maximizing workbook performance; ability to translate complex business requirements into technical specifications; solid understanding of SQL, relational database management systems, data modeling, and normalization; strong communication skills. Good-to-Have: Airline domain knowledge.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=f7aaae166b71d8d2,indeed,06/11/2025,Not specified,Not specified
28,27,Technical Business Analyst,Tata Consultancy Services (TCS),https://hk.indeed.com/cmp/Tata-Consultancy-Services-(tcs),"This Solution Analyst role is responsible for contributing to Business Analysis to IT Projects. Key responsibilities include business analysis, requirements analysis, reviewing business processes, developing optimization strategies, ensuring solutions meet business needs, creating reports, giving presentations, and having exposure to interfaces like Rest API, MQ, batch file interfaces using Java, and basic SQL knowledge.","5+ years of experience, bilingual in Cantonese (must) and English, tertiary qualification in a relevant discipline, excellent communication and interpersonal skills, strong teamwork abilities, and preferable knowledge of the airline domain.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=687bb14db3950adf,indeed,06/11/2025,Not specified,Not specified
29,28,Tableau Developer,Tata Consultancy Services (TCS),https://hk.indeed.com/cmp/Tata-Consultancy-Services-(tcs),"Responsibilities include designing, developing, and maintaining data visualizations and dashboards using Tableau software to help organizations make data-driven decisions.","Must-Have: Proven 3-5 years of working experience in developing Tableau-driven dashboards and analytics; working knowledge of Tableau administrator/architecture; advanced Tableau development skills; ability to query and display large datasets while maximizing workbook performance; ability to translate complex business requirements into technical specifications; solid understanding of SQL, relational database management systems, data modeling, and normalization; strong communication skills. Good-to-Have: Airline domain knowledge.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=cc89be0a11575adc,indeed,06/11/2025,Not specified,Not specified
30,29,Technical Business Analyst,Tata Consultancy Services (TCS),https://hk.indeed.com/cmp/Tata-Consultancy-Services-(tcs),"Develops software solutions by studying information needs, conferring with users and teams, analyzing systems flow, data usage, and work processes; investigates problem areas; follows the software development lifecycle. Documents and demonstrates solutions through documentation, flowcharts, diagrams, and code. Prepares and installs solutions by designing system specifications, standards, and programming. Requires experience in building, deploying, and supporting enterprise applications, with exposure to Contact Center - IVR, Genesys, and third-party integrations. Must have knowledge of Contact Center domain and cloud networking.","8-10+ years of experience with applications on MS Windows platform. Working knowledge of Contact Centre applications such as IVR, Genesys. Good understanding of IVR design and workflows. Experience in workflows, custom workflows, business rules, and process flows. Familiarity with call routing technology and ACDs is a plus. Experience in routing management, WFM & Command center. Knowledge of Genesys Systems and technology.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=34983ab1121483fe,indeed,06/11/2025,Not specified,Not specified
31,30,Technical Business Analyst,Tata Consultancy Services (TCS),https://hk.indeed.com/cmp/Tata-Consultancy-Services-(tcs),"BA who can support our SIT, UAT, OAT for different VLS application (9 apps under Subs Lam project). Job function: TECHNOLOGY. Role: Analyst. Job ID: 376622.","Must-Have: Node.js, Angular, AngularJS, C# .Net, C# Core, ReactJS.Net, SQL Server, ReactJS, Java Springboot 3. Good-to-Have: Airline Domain Knowledge. Desired Skills: MS SQL Server | Node JS | ReactJS | Angular JS. Qualifications: Others.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=e103a3e3244123c4,indeed,06/11/2025,Not specified,Not specified
32,31,Technical Business Analyst,Tata Consultancy Services (TCS),https://hk.indeed.com/cmp/Tata-Consultancy-Services-(tcs),"Develops software solutions by studying information needs, conferring with users and teams, analyzing systems flow, data usage, and work processes; investigates problem areas; follows the software development lifecycle. Documents and demonstrates solutions through documentation, flowcharts, diagrams, and code. Prepares and installs solutions by designing system specifications, standards, and programming. Builds, deploys, and supports enterprise applications with exposure to Contact Center - IVR, Genesys, and third-party integrations. Requires understanding of infrastructure, network, and cloud networking.","8-10+ years of experience with applications on MS Windows platform. Working knowledge of Contact Centre applications such as IVR and Genesys. Good understanding of IVR design and workflows. Experience in workflows, custom workflows, business rules, business process flows, and configurations. Knowledge of call routing technology and ACDs is an advantage. Experience in routing management, WFM & Command center. Familiarity with Genesys Systems and technology.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=f8401b969b91e00b,indeed,06/11/2025,Not specified,Not specified
33,32,"Senior Analyst, Financial Systems (16-month contract)","Disney Parks, Experiences and Products",https://disneyconnect.com/dpep/,"The Senior Analyst, Financial System supports Finance users on SAP and coordinates various system testing activities, ensures data integrity of financial data; controls; business efficiency and effectiveness by means of process improvement, automation etc., and supports Manager of Financial Systems for any assigned tasks. Work with finance and regional teams to support SAP FICO and other financial applications, assist local and regional finance and business projects, support requirement study, system design, QA, user acceptance test coordination, training, deployment, translate business requirements into application solutions, and manage data integrity control between SAP and other systems.","Degree holder in Finance/Computer Science or equivalent. 3 years of experience in SAP FI/CO, MM, SD and BW. Experience in software programming is preferred. Previous exposure to finance, facility maintenance, sales, hospitality, or retail industry is an advantage. Strong interpersonal, communication, and collaboration skills.","Lantau Island, NT, HK",Not specified,https://www.disneycareers.com/job/-/-/391/88105264272,indeed,06/11/2025,Not specified,Not specified
